Timestamp,RecipeId,JobId,RunId,Active_State_General_StaOperatingState,Name,Text,Severity,Active_ActProcVal_All_MainDrive_ActSpeed,Active_ActProcVal_All_MainDrive_ActTorquePercent,Active_ActProcVal_All_MainDrive_ActThroughput,Active_ActProcVal_All_MainDrive_ActPower,Active_ActProcVal_All_MainDrive_ActSME,Active_ActProcVal_All_Endplate_ActPressure
2025-12-16T10:38:26.948738,Recipe_B,ed96a51d-167f-40ef-9a82-b3587030cf4c,11,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16T10:38:27.948738,Recipe_B,ed96a51d-167f-40ef-9a82-b3587030cf4c,11,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16T10:38:28.948738,Recipe_B,ed96a51d-167f-40ef-9a82-b3587030cf4c,11,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16T10:38:29.948738,Recipe_B,ed96a51d-167f-40ef-9a82-b3587030cf4c,11,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16T10:38:30.948738,Recipe_B,ed96a51d-167f-40ef-9a82-b3587030cf4c,11,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16T10:38:31.948738,Recipe_B,ed96a51d-167f-40ef-9a82-b3587030cf4c,11,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16T10:38:32.948738,Recipe_B,ed96a51d-167f-40ef-9a82-b3587030cf4c,11,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16T10:38:33.948738,Recipe_B,ed96a51d-167f-40ef-9a82-b3587030cf4c,11,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16T10:38:34.948738,Recipe_B,ed96a51d-167f-40ef-9a82-b3587030cf4c,11,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16T10:38:35.948738,Recipe_B,ed96a51d-167f-40ef-9a82-b3587030cf4c,11,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16T10:38:36.948738,Recipe_B,ed96a51d-167f-40ef-9a82-b3587030cf4c,11,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16T10:38:37.948738,Recipe_B,ed96a51d-167f-40ef-9a82-b3587030cf4c,11,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16T10:38:38.948738,Recipe_B,ed96a51d-167f-40ef-9a82-b3587030cf4c,11,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16T10:38:39.948738,Recipe_B,ed96a51d-167f-40ef-9a82-b3587030cf4c,11,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16T10:38:40.948738,Recipe_B,ed96a51d-167f-40ef-9a82-b3587030cf4c,11,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16T10:38:41.948738,Recipe_B,ed96a51d-167f-40ef-9a82-b3587030cf4c,11,4.0,,,,99.55,48.76,55.81,37.49,48.84,58.53
