Timestamp,RecipeId,JobId,RunId,Active_State_General_StaOperatingState,Name,Text,Severity,Active_ActProcVal_All_MainDrive_ActSpeed,Active_ActProcVal_All_MainDrive_ActTorquePercent,Active_ActProcVal_All_MainDrive_ActThroughput,Active_ActProcVal_All_MainDrive_ActPower,Active_ActProcVal_All_MainDrive_ActSME,Active_ActProcVal_All_Endplate_ActPressure
2025-12-16T22:32:54.801963,Recipe_C,75b6e8da-555f-4ded-add1-49e62b6a5ba4,18,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16T22:32:55.801963,Recipe_C,75b6e8da-555f-4ded-add1-49e62b6a5ba4,18,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16T22:32:56.801963,Recipe_C,75b6e8da-555f-4ded-add1-49e62b6a5ba4,18,5.0,,,,8.42,8.01,10.6,12.05,10.77,9.83
2025-12-16T22:32:57.801963,Recipe_C,75b6e8da-555f-4ded-add1-49e62b6a5ba4,18,5.0,,,,9.03,8.48,8.6,7.83,7.66,10.53
2025-12-16T22:32:58.801963,Recipe_C,75b6e8da-555f-4ded-add1-49e62b6a5ba4,18,5.0,,,,11.66,12.41,9.91,11.75,10.51,11.93
2025-12-16T22:32:59.801963,Recipe_C,75b6e8da-555f-4ded-add1-49e62b6a5ba4,18,5.0,,,,11.4,8.06,14.23,8.22,7.42,10.05
2025-12-16T22:33:00.801963,Recipe_C,75b6e8da-555f-4ded-add1-49e62b6a5ba4,18,5.0,,,,10.2,12.55,12.17,10.57,7.58,8.38
2025-12-16T22:33:01.801963,Recipe_C,75b6e8da-555f-4ded-add1-49e62b6a5ba4,18,5.0,,,,10.59,11.33,10.06,7.55,11.1,9.29
2025-12-16T22:33:02.801963,Recipe_C,75b6e8da-555f-4ded-add1-49e62b6a5ba4,18,1.0,,,,12.21,8.05,10.12,7.11,11.88,9.55
2025-12-16T22:33:03.801963,Recipe_C,75b6e8da-555f-4ded-add1-49e62b6a5ba4,18,1.0,,,,8.65,7.76,8.32,7.96,9.52,12.61
